date,lat,lon,soil_moisture_pct,profile_storage_mm
2025-01-01,-35.09704,148.93607,15.61537110222178,37.958873732570545
2025-01-02,-35.09704,148.93607,15.4765427531961,36.48326542846671
2025-01-03,-35.09704,148.93607,15.295772107475319,34.56185191432591
2025-01-04,-35.09704,148.93607,15.129161094666873,32.79094132019495
2025-01-05,-35.09704,148.93607,15.414452882998557,35.823311401013164
2025-01-06,-35.09704,148.93607,15.263545571527004,34.21931564999969
2025-01-07,-35.09704,148.93607,15.325866304843387,34.88172352450725
2025-01-08,-35.09704,148.93607,15.176441989122893,33.29349055437084
2025-01-09,-35.09704,148.93607,15.042759222333501,31.87257470991667
2025-01-10,-35.09704,148.93607,14.950969141748256,30.896936764954212
2025-01-11,-35.09704,148.93607,14.840733530987666,29.7252410429501
2025-01-12,-35.09704,148.93607,17.96421659164796,62.924782594693205
2025-01-13,-35.09704,148.93607,17.72537304537004,60.38611147497755
2025-01-14,-35.09704,148.93607,18.207755491492833,65.51336068775205
2025-01-15,-35.09704,148.93607,17.915387993463646,62.40578279771952
2025-01-16,-35.09704,148.93607,20.299666103070088,87.74830543463023
2025-01-17,-35.09704,148.93607,19.884513465942735,83.33564272477975
2025-01-18,-35.09704,148.93607,19.501424051112437,79.2637804163596
2025-01-19,-35.09704,148.93607,19.12286666648033,75.24008911509927
2025-01-20,-35.09704,148.93607,18.790458037072746,71.70691352558856
2025-01-21,-35.09704,148.93607,18.431949608176915,67.89632283224216
2025-01-22,-35.09704,148.93607,18.13806134877983,64.77258075010634
2025-01-23,-35.09704,148.93607,17.941740234023577,62.685881100947064
2025-01-24,-35.09704,148.93607,18.116320426470658,64.54149620776724
2025-01-25,-35.09704,148.93607,17.839841286910747,61.602795883883005
2025-01-26,-35.09704,148.93607,17.60627023308864,59.120166154169574
2025-01-27,-35.09704,148.93607,17.310690952906285,55.97845019039741
2025-01-28,-35.09704,148.93607,17.047562978657837,53.18165957401394
2025-01-29,-35.09704,148.93607,16.798330735328037,50.53256685996134
2025-01-30,-35.09704,148.93607,17.29936488770649,55.85806529798217
2025-01-31,-35.09704,148.93607,17.097572459390847,53.71321098675819
2025-02-01,-35.09704,148.93607,16.855462366274047,51.13981969875538
2025-02-02,-35.09704,148.93607,16.588341082372885,48.300584142806194
2025-02-03,-35.09704,148.93607,16.357661411112467,45.84868695546122
2025-02-04,-35.09704,148.93607,16.12433184409354,43.36862399207905
2025-02-05,-35.09704,148.93607,15.9113854455189,41.10521398777498
2025-02-06,-35.09704,148.93607,16.006797190821107,42.119346653509815
2025-02-07,-35.09704,148.93607,15.80940772727061,40.02129151130082
2025-02-08,-35.09704,148.93607,16.071939957059456,42.81174995217484
2025-02-09,-35.09704,148.93607,16.00065692827662,42.054081724094345
2025-02-10,-35.09704,148.93607,17.95281755276993,62.80362206411518
2025-02-11,-35.09704,148.93607,18.55036195072641,69.15492914140529
2025-02-12,-35.09704,148.93607,18.561591335844987,69.27428641999606
2025-02-13,-35.09704,148.93607,18.314431129265085,66.6472174111594
2025-02-14,-35.09704,148.93607,20.15810318962307,86.24363141018502
2025-02-15,-35.09704,148.93607,20.75414431070685,92.5789601382958
2025-02-16,-35.09704,148.93607,20.403125092000995,88.84797235620684
2025-02-17,-35.09704,148.93607,20.046375391971544,85.05607521456012
2025-02-18,-35.09704,148.93607,19.754325217020714,81.95187015560131
2025-02-19,-35.09704,148.93607,19.447266108084698,78.6881349446258
2025-02-20,-35.09704,148.93607,19.19468485788296,76.0034455935361
2025-02-21,-35.09704,148.93607,18.892910206756497,72.79587895246138
2025-02-22,-35.09704,148.93607,18.58758567723785,69.55058060838205
2025-02-23,-35.09704,148.93607,18.38923047854437,67.44226065493997
2025-02-24,-35.09704,148.93607,18.142315536449196,64.81779856546024
2025-02-25,-35.09704,148.93607,17.908155242840333,62.32890579848864
2025-02-26,-35.09704,148.93607,17.610477445464085,59.1648846685213
2025-02-27,-35.09704,148.93607,17.338499690147312,56.274029615547164
2025-02-28,-35.09704,148.93607,17.094918360215267,53.685000532547015
2025-03-01,-35.09704,148.93607,16.850533379320918,51.087429433151094
2025-03-02,-35.09704,148.93607,16.629402173875864,48.737023011542995
2025-03-03,-35.09704,148.93607,16.448973857002557,46.819248115116906
2025-03-04,-35.09704,148.93607,16.275645294593573,44.97693660004037
2025-03-05,-35.09704,148.93607,16.103099862627165,43.14294898849195
2025-03-06,-35.09704,148.93607,15.954963403612336,41.56840466381386
